"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/nereus/agent/v/",16471,0,140,281,9,1859,1431,68.17
"None","Total",16471,0,140,281,9,1859,1431,68.17
