"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /nereus/agent/v/",16471,140,260,460,560,770,920,1100,1200,1900
"Total",16471,140,260,460,560,770,920,1100,1200,1900
